name	x	y	z	material
Fp1	-270.0	860.0	360.0	EEG
Fp2	270.0	860.0	360.0	EEG
F3	-470.0	620.0	800.0	EEG
F4	470.0	620.0	800.0	EEG
C3	-610.0	0.0	970.0	EEG
C4	610.0	0.0	970.0	EEG
P3	-470.0	-620.0	800.0	EEG
P4	470.0	-620.0	800.0	EEG
O1	-270.0	-860.0	360.0	EEG
O2	270.0	-860.0	360.0	EEG
F7	-670.0	520.0	360.0	EEG
F8	670.0	520.0	360.0	EEG
T7	-780.0	0.0	360.0	EEG
T8	780.0	0.0	360.0	EEG
P7	-670.0	-520.0	360.0	EEG
P8	670.0	-520.0	360.0	EEG
Fz	0.0	670.0	950.0	EEG
Cz	0.0	0.0	1200.0	EEG
Pz	0.0	-670.0	950.0	EEG
AFz	0.0	830.0	690.0	EEG
CPz	0.0	-340.0	1130.0	EEG
POz	0.0	-830.0	690.0	EEG
M1	-730.0	-250.0	0.0	EEG
M2	730.0	-250.0	0.0	EEG
